----  ----------------  --------  -----
Rank  Silhouette_score  Diameter  Score
1     0.68              9.549     6.493
2     0.666             8.449     5.629
3     0.746             6.258     4.666
4     0.66              6.255     4.131
5     0.71              5.782     4.106
6     0.698             5.352     3.737
7     0.63              5.026     3.165
8     0.542             5.739     3.11
9     0.633             4.729     2.994
10    0.684             4.347     2.975
----  ----------------  --------  -----
